time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_13-32-41, 45.600000, 25.000000, 15.310000, 15.380000, 12.446205
2022-05-01_13-32-45, 45.700000, 25.000000, 15.310000, 15.380000, 12.479590
2022-05-01_13-32-49, 45.700000, 25.000000, 15.310000, 15.380000, 12.479590
2022-05-01_13-32-53, 45.700000, 25.000000, 15.380000, 15.380000, 12.479590
2022-05-01_13-32-57, 45.700000, 25.000000, 15.440000, 15.440000, 12.479590
2022-05-01_13-33-02, 45.700000, 25.000000, 15.560000, 15.500000, 12.479590
2022-05-01_13-33-06, 45.700000, 25.000000, 15.630000, 15.630000, 12.479590
2022-05-01_13-33-10, 45.700000, 25.000000, 15.750000, 15.690000, 12.479590
2022-05-01_13-33-14, 45.700000, 25.000000, 15.880000, 15.810000, 12.479590
2022-05-01_13-33-18, 45.700000, 25.000000, 15.940000, 15.940000, 12.479590
2022-05-01_13-33-22, 45.700000, 25.000000, 16.060000, 16.000000, 12.479590
2022-05-01_13-33-26, 45.700000, 25.000000, 16.120000, 16.120000, 12.479590
2022-05-01_13-33-30, 45.700000, 25.000000, 16.250000, 16.190000, 12.479590
2022-05-01_13-33-34, 45.700000, 25.000000, 16.370000, 16.310000, 12.479590
2022-05-01_13-33-39, 45.700000, 25.000000, 16.440000, 16.370000, 12.479590
2022-05-01_13-33-43, 45.700000, 25.000000, 16.560000, 16.440000, 12.479590
2022-05-01_13-33-47, 45.700000, 25.000000, 16.620000, 16.500000, 12.479590
2022-05-01_13-33-51, 45.700000, 25.000000, 16.690000, 16.620000, 12.479590
2022-05-01_13-33-55, 45.700000, 25.000000, 16.750000, 16.690000, 12.479590
2022-05-01_13-33-59, 45.700000, 25.000000, 16.870000, 16.810000, 12.479590
2022-05-01_13-34-03, 45.700000, 25.000000, 16.940000, 16.870000, 12.479590
2022-05-01_13-34-07, 45.700000, 25.000000, 17.000000, 16.870000, 12.479590
2022-05-01_13-34-11, 45.700000, 25.000000, 17.060000, 17.000000, 12.479590
2022-05-01_13-34-15, 45.700000, 25.000000, 17.120000, 17.000000, 12.479590
2022-05-01_13-34-20, 45.700000, 25.000000, 17.190000, 17.060000, 12.479590
2022-05-01_13-34-24, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-34-28, 45.700000, 25.000000, 17.250000, 17.120000, 12.479590
2022-05-01_13-34-32, 45.700000, 25.000000, 17.190000, 17.190000, 12.479590
2022-05-01_13-34-36, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-34-40, 45.700000, 25.000000, 17.190000, 17.120000, 12.479590
2022-05-01_13-34-44, 45.700000, 25.000000, 17.120000, 17.060000, 12.479590
2022-05-01_13-34-48, 45.700000, 25.000000, 17.120000, 17.060000, 12.479590
2022-05-01_13-34-52, 45.700000, 25.000000, 17.060000, 17.000000, 12.479590
2022-05-01_13-34-57, 45.700000, 25.000000, 17.000000, 17.000000, 12.479590
2022-05-01_13-35-01, 45.700000, 25.000000, 16.940000, 16.940000, 12.479590
2022-05-01_13-35-05, 45.700000, 25.000000, 16.870000, 16.870000, 12.479590
